PolicyNo,CustomerID,ProductID,AgentID,StartDate,EndDate,Status
POL00724,CUST1890,PROD015,AGT099,2022-05-12,2024-05-01,Active
POL00725,CUST2109,PROD001,AGT048,2021-05-15,2022-05-10,Active
POL00726,CUST0349,PROD020,AGT047,2021-09-04,2023-08-25,Active
POL00727,CUST1330,PROD019,AGT053,2020-02-15,2021-02-09,Active
POL00728,CUST0067,PROD002,AGT065,2021-02-09,2024-01-25,Active
POL00729,CUST2018,PROD011,AGT111,2020-03-20,2020-09-16,Expired
POL00730,CUST1004,PROD009,AGT112,2022-03-31,2024-03-20,Cancelled
POL00731,CUST2786,PROD018,AGT111,2020-09-11,2021-09-06,Cancelled
POL00732,CUST0089,PROD006,AGT006,2022-08-29,2024-08-18,Active
POL00733,CUST1409,PROD007,AGT018,2021-08-27,2022-08-22,
POL00734,CUST1357,PROD004,AGT114,2024-11-14,2025-05-13,Cancelled
POL00735,CUST2578,PROD003,AGT104,2025-05-10,2026-05-05,Active
POL00736,CUST1409,PROD001,AGT100,2024-10-16,2025-04-14,Active
POL00737,CUST2447,PROD020,AGT038,2025-01-09,2025-07-08,Active
POL00738,CUST0132,PROD003,AGT023,2020-01-02,2022-12-17,Expired
POL00739,CUST0392,PROD013,AGT102,2024-04-08,2025-04-03,Cancelled
POL00740,CUST2481,PROD016,AGT080,2021-03-11,2021-09-07,
POL00741,CUST0664,PROD005,AGT065,2021-05-04,2022-04-29,Expired
POL00742,CUST2534,PROD002,AGT106,2022-02-08,2024-01-29,
POL00743,CUST0706,PROD011,AGT073,2024-04-12,2026-04-02,Active
POL00744,CUST0388,PROD011,AGT090,2023-11-29,2024-05-27,Expired
POL00745,CUST0359,PROD013,AGT100,2022-06-17,2023-06-12,Active
POL00746,CUST1319,PROD005,AGT028,2021-09-05,2022-03-04,Active
POL00747,CUST0484,PROD017,AGT114,2021-12-29,2022-06-27,Active
POL00748,CUST2185,PROD014,AGT107,2022-01-05,2023-12-26,Active
POL00749,CUST0114,PROD017,AGT037,2020-10-02,2021-03-31,Expired
POL00750,CUST1295,PROD016,AGT045,2025-06-14,2027-06-04,Expired
POL00751,CUST2719,PROD014,AGT070,2021-11-25,2022-11-20,Active
POL00752,CUST2712,PROD011,AGT017,2023-08-16,2024-02-12,Cancelled
POL00753,CUST1355,PROD014,AGT083,2021-03-31,2022-03-26,Active
POL00754,CUST1614,PROD013,AGT018,2022-11-07,2025-10-22,Active
POL00755,CUST2401,PROD020,AGT033,2023-03-22,2024-03-16,Cancelled
POL00756,CUST0718,PROD010,AGT100,2023-11-15,2024-11-09,Active
POL00757,CUST2666,PROD001,AGT057,2020-10-26,2022-10-16,Active
POL00758,CUST1601,PROD003,AGT120,2024-11-02,2026-10-23,Active
POL00759,CUST1689,PROD002,AGT018,2020-05-31,2021-05-26,Expired
POL00760,CUST2640,PROD004,AGT056,2021-01-06,2022-12-27,Expired
POL00761,CUST0162,PROD012,AGT030,2020-09-02,2022-08-23,Active
POL00762,CUST1192,PROD006,AGT110,2024-04-27,2025-04-22,Expired
POL00763,CUST2642,PROD003,AGT024,2021-09-12,2023-09-02,Active
POL00764,CUST2851,PROD014,AGT103,2022-01-28,2024-01-18,Expired
POL00765,CUST2489,PROD019,AGT077,2025-05-24,2028-05-08,Active
POL00766,CUST1716,PROD014,AGT031,2020-08-02,2023-07-18,Active
POL00767,CUST2661,PROD014,AGT109,2020-08-09,2021-08-04,Active
POL00768,CUST1078,PROD013,AGT037,2020-03-01,2021-02-24,Active
POL00769,CUST2546,PROD017,AGT052,2024-04-05,2025-03-31,Active
POL00770,CUST0827,PROD012,AGT012,2024-05-01,2027-04-16,Expired
POL00771,CUST1016,PROD006,AGT007,2021-02-14,2022-02-09,
POL00772,CUST2030,PROD002,AGT015,2024-09-04,2025-03-03,Cancelled
POL00773,CUST0743,PROD020,AGT071,2020-12-30,2021-06-28,Active
POL00774,CUST0104,PROD004,AGT029,2023-12-03,2024-05-31,Expired
POL00775,CUST1383,PROD015,AGT120,2022-01-07,2023-01-02,Cancelled
POL00776,CUST0129,PROD013,AGT065,2021-07-11,2024-06-25,Active
POL00777,CUST1908,PROD005,AGT040,2020-06-20,2021-06-15,Cancelled
POL00778,CUST2804,PROD020,AGT013,2020-01-25,2020-07-23,Active
POL00779,CUST2888,PROD019,AGT011,2023-01-06,2024-01-01,Active
POL00780,CUST1356,PROD014,AGT046,2021-07-09,2023-06-29,Active
POL00781,CUST0033,PROD012,AGT048,2025-02-11,2027-02-01,Active
POL00782,CUST1608,PROD014,AGT043,2023-05-19,2025-05-08,Active
POL00783,CUST0229,PROD001,AGT031,2024-07-04,2025-06-29,Expired
POL00784,CUST0463,PROD020,AGT097,2020-04-01,2022-03-22,Active
POL00785,CUST1306,PROD013,AGT076,2024-05-12,2026-05-02,Active
POL00786,CUST1438,PROD001,AGT094,2021-11-12,2022-11-07,Active
POL00787,CUST1982,PROD014,AGT068,2024-03-22,2027-03-07,Active
POL00788,CUST1405,PROD006,AGT061,2024-04-15,2024-10-12,Expired
POL00789,CUST2728,PROD009,AGT090,2021-02-21,2021-08-20,Expired
POL00790,CUST0195,PROD008,AGT053,2020-04-02,2022-03-23,Active
POL00791,CUST1212,PROD003,AGT012,2022-05-01,2024-04-20,Active
POL00792,CUST1249,PROD013,AGT071,2024-07-19,2025-07-14,Active
POL00793,CUST1952,PROD007,AGT102,2024-08-04,2027-07-20,Active
POL00794,CUST1554,PROD005,AGT037,2024-06-30,2024-12-27,Active
POL00795,CUST2153,PROD014,AGT109,2021-03-20,2024-03-04,Expired
POL00796,CUST2285,PROD003,AGT052,2022-02-07,2024-01-28,Expired
POL00797,CUST1907,PROD007,AGT070,2025-04-28,2025-10-25,Expired
POL00798,CUST2433,PROD008,AGT084,2020-01-21,2023-01-05,Active
POL00799,CUST1345,PROD013,AGT103,2023-10-26,2024-10-20,Active
POL00800,CUST2814,PROD019,AGT043,2025-05-27,2026-05-22,Active
POL00801,CUST0066,PROD003,AGT042,2023-12-16,2024-12-10,Active
POL00802,CUST0992,PROD016,AGT081,2023-05-27,2025-05-16,Expired
POL00803,CUST1072,PROD002,AGT069,2022-04-05,2023-03-31,Cancelled
POL00804,CUST1398,PROD014,AGT078,2022-02-13,2023-02-08,Expired
POL00805,CUST1339,PROD009,AGT031,2024-05-26,2024-11-22,Cancelled
POL00806,CUST2856,PROD009,AGT040,2025-02-23,2026-02-18,
POL00807,CUST1682,PROD004,AGT116,2023-09-25,2025-09-14,Active
POL00808,CUST2370,PROD001,AGT046,2022-04-03,2024-03-23,Cancelled
POL00809,CUST2442,PROD003,AGT004,2021-05-08,2023-04-28,Active
POL00810,CUST2302,PROD016,AGT048,2023-12-05,2026-11-19,Active
POL00811,CUST2738,PROD015,AGT097,2021-10-17,2022-10-12,Active
POL00812,CUST1865,PROD013,AGT069,2024-11-18,2027-11-03,Expired
POL00813,CUST1478,PROD018,AGT034,2020-03-21,2023-03-06,Active
POL00814,CUST2025,PROD008,AGT085,2024-12-04,2025-11-29,Active
POL00815,CUST1392,PROD013,AGT027,2021-08-11,2023-08-01,Cancelled
POL00816,CUST1920,PROD008,AGT059,2024-09-24,2025-09-19,Active
POL00817,CUST0331,PROD007,AGT083,2024-03-03,2025-02-26,Active
POL00818,CUST1214,PROD013,AGT034,2021-12-05,2022-11-30,Active
POL00819,CUST1186,PROD018,AGT107,2024-04-20,2026-04-10,Expired
POL00820,CUST2178,PROD018,AGT071,2022-09-16,2024-09-05,Active
POL00821,CUST1271,PROD019,AGT079,2025-01-01,2025-12-27,Expired
POL00822,CUST0495,PROD009,AGT015,2024-01-09,2025-12-29,Active
POL00823,CUST0622,PROD011,AGT112,2023-10-30,2024-10-24,Expired
POL00824,CUST1600,PROD017,AGT085,2023-07-20,2024-01-16,Expired
POL00825,CUST2945,PROD019,AGT074,2020-07-23,2022-07-13,Active
POL00826,CUST1002,PROD013,AGT026,2022-02-03,2023-01-29,Active
POL00827,CUST2345,PROD016,AGT110,2022-05-13,2023-05-08,Cancelled
POL00828,CUST0610,PROD009,AGT098,2025-05-29,2027-05-19,Active
POL00829,CUST2386,PROD017,AGT023,2020-10-16,2023-10-01,Expired
POL00830,CUST0563,PROD015,AGT056,2024-05-13,2025-05-08,Active
POL00831,CUST2314,PROD020,AGT010,2021-06-17,2023-06-07,Active
POL00832,CUST0878,PROD006,AGT115,2024-07-03,2025-06-28,Cancelled
POL00833,CUST2037,PROD009,AGT009,2020-12-18,2022-12-08,Expired
POL00834,CUST2662,PROD007,AGT055,2025-04-03,2026-03-29,Expired
POL00835,CUST2288,PROD012,AGT075,2021-03-20,2022-03-15,Expired
POL00836,CUST0573,PROD005,AGT086,2025-05-08,2026-05-03,Expired
POL00837,CUST2472,PROD003,AGT094,2020-08-22,2021-08-17,Expired
POL00838,CUST2944,PROD018,AGT041,2022-09-16,2024-09-05,Expired
POL00839,CUST2505,PROD018,AGT088,2023-07-15,2024-07-09,Expired
POL00840,CUST2500,PROD007,AGT022,2024-06-09,2024-12-06,Active
POL00841,CUST0470,PROD010,AGT008,2023-01-23,2024-01-18,Active
POL00842,CUST0433,PROD009,AGT058,2023-11-19,2026-11-03,Active
POL00843,CUST0590,PROD009,AGT075,2023-02-08,2024-02-03,Active
POL00844,CUST2002,PROD005,AGT102,2023-03-27,2024-03-21,
POL00845,CUST0801,PROD010,AGT075,2021-03-22,2022-03-17,Cancelled
POL00846,CUST1044,PROD019,AGT081,2020-08-29,2021-08-24,Expired
POL00847,CUST2964,PROD004,AGT109,2024-04-01,2026-03-22,Active
POL00848,CUST0451,PROD011,AGT031,2021-09-30,2022-09-25,Expired
POL00849,CUST0423,PROD004,AGT025,2021-08-09,2022-02-05,Active
POL00850,CUST1168,PROD012,AGT095,2022-10-07,2023-10-02,Active
POL00851,CUST2163,PROD020,AGT103,2021-07-18,2022-07-13,Expired
POL00852,CUST2665,PROD010,AGT068,2024-01-13,2024-07-11,Active
POL00853,CUST2644,PROD005,AGT101,2023-03-30,2023-09-26,Cancelled
POL00854,CUST1528,PROD016,AGT036,2020-01-26,2020-07-24,Active
POL00855,CUST0690,PROD002,AGT119,2025-05-25,2027-05-15,Cancelled
POL00856,CUST2937,PROD003,AGT053,2024-02-25,2026-02-14,Active
POL00857,CUST0959,PROD018,AGT015,2024-07-21,2025-07-16,Active
POL00858,CUST1329,PROD016,AGT078,2023-07-12,2024-07-06,Active
POL00859,CUST1846,PROD006,AGT066,2022-01-14,2023-01-09,Active
POL00860,CUST0251,PROD017,AGT003,2021-08-15,2022-08-10,Active
POL00861,CUST2055,PROD009,AGT081,2023-12-12,2024-12-06,Expired
POL00862,CUST1432,PROD001,AGT108,2022-09-25,2023-09-20,Active
POL00863,CUST1709,PROD017,AGT112,2020-09-06,2022-08-27,Active
POL00864,CUST1418,PROD015,AGT006,2021-09-25,2022-09-20,Active
POL00865,CUST1521,PROD012,AGT063,2022-08-15,2023-02-11,Active
POL00866,CUST2713,PROD007,AGT115,2024-10-29,2027-10-14,Expired
POL00867,CUST1518,PROD001,AGT100,2021-03-10,2023-02-28,Expired
POL00868,CUST2999,PROD008,AGT102,2020-10-07,2022-09-27,Active
POL00869,CUST1053,PROD013,AGT116,2020-05-30,2021-05-25,Expired
POL00870,CUST1469,PROD001,AGT004,2023-02-28,2023-08-27,Expired
POL00871,CUST0334,PROD017,AGT019,2021-01-13,2022-01-08,Active
POL00872,CUST0035,PROD008,AGT051,2025-01-26,2026-01-21,Cancelled
POL00873,CUST2710,PROD003,AGT101,2024-05-02,2025-04-27,Active
POL00874,CUST2649,PROD002,AGT004,2024-06-06,2025-06-01,Active
POL00875,CUST1962,PROD009,AGT119,2023-01-28,2024-01-23,Cancelled
POL00876,CUST1564,PROD007,AGT046,2023-07-22,2026-07-06,Expired
POL00877,CUST2248,PROD013,AGT001,2024-08-11,2026-08-01,Active
POL00878,CUST1792,PROD016,AGT059,2023-06-27,2024-06-21,Expired
POL00879,CUST1376,PROD014,AGT109,2020-03-13,2020-09-09,Active
POL00880,CUST2226,PROD001,AGT065,2020-01-03,2020-12-28,Active
POL00881,CUST2502,PROD006,AGT004,2020-08-09,2022-07-30,Expired
POL00882,CUST2399,PROD012,AGT071,2023-01-04,2024-12-24,Active
POL00883,CUST1918,PROD019,AGT112,2020-05-16,2023-05-01,Active
POL00884,CUST2234,PROD006,AGT053,2024-06-02,2026-05-23,Active
POL00885,CUST2552,PROD011,AGT085,2023-10-11,2024-10-05,Active
POL00886,CUST2392,PROD009,AGT095,2021-12-01,2023-11-21,Cancelled
POL00887,CUST1840,PROD016,AGT067,2023-10-27,2024-10-21,Expired
POL00888,CUST1542,PROD019,AGT070,2025-02-25,2026-02-20,Cancelled
POL00889,CUST1568,PROD012,AGT114,2021-11-10,2022-11-05,Active
POL00890,CUST2405,PROD019,AGT064,2022-03-20,2025-03-04,Expired
POL00891,CUST2364,PROD005,AGT098,2020-09-26,2022-09-16,Active
POL00892,CUST0910,PROD020,AGT051,2023-01-14,2025-01-03,Expired
POL00893,CUST1853,PROD010,AGT095,2025-04-02,2026-03-28,Active
POL00894,CUST0172,PROD001,AGT019,2023-03-02,2024-02-25,Expired
POL00895,CUST0528,PROD013,AGT118,2022-01-04,2023-12-25,Active
POL00896,CUST0625,PROD008,AGT073,2022-03-25,2023-03-20,Active
POL00897,CUST0005,PROD005,AGT100,2022-03-02,2025-02-14,Active
POL00898,CUST0871,PROD020,AGT116,2020-03-13,2023-02-26,Expired
POL00899,CUST0904,PROD015,AGT064,2024-12-24,2025-12-19,Expired
POL00900,CUST2170,PROD003,AGT047,2021-07-18,2022-01-14,Active
POL00901,CUST0124,PROD020,AGT075,2022-02-20,2022-08-19,Expired
POL00902,CUST0076,PROD015,AGT055,2022-06-09,2025-05-24,Active
POL00903,CUST2206,PROD007,AGT052,2024-03-04,2027-02-17,Expired
POL00904,CUST1666,PROD004,AGT043,2022-11-17,2023-11-12,
POL00905,CUST1898,PROD008,AGT037,2024-02-13,2025-02-07,Active
POL00906,CUST2253,PROD019,AGT056,2024-01-25,2025-01-19,Expired
POL00907,CUST2923,PROD007,AGT076,2024-05-06,2027-04-21,Active
POL00908,CUST2319,PROD001,AGT115,2024-10-15,2025-10-10,Expired
POL00909,CUST1514,PROD004,AGT019,2025-05-15,2027-05-05,Active
POL00910,CUST0788,PROD007,AGT036,2023-03-07,2023-09-03,Expired
POL00911,CUST2725,PROD019,AGT059,2021-08-27,2022-08-22,Expired
POL00912,CUST1665,PROD020,AGT075,2020-11-20,2022-11-10,Active
POL00913,CUST2061,PROD006,AGT120,2024-11-26,2025-11-21,Active
POL00914,CUST1773,PROD006,AGT001,2024-12-16,2025-06-14,Expired
POL00915,CUST1098,PROD014,AGT082,2021-03-26,2024-03-10,Expired
POL00916,CUST1527,PROD015,AGT012,2023-02-28,2023-08-27,Active
POL00917,CUST2411,PROD016,AGT021,2021-07-06,2022-07-01,Active
POL00918,CUST0314,PROD002,AGT027,2023-04-21,2024-04-15,Active
POL00919,CUST1155,PROD015,AGT072,2024-05-12,2025-05-07,Active
POL00920,CUST0547,PROD015,AGT007,2023-10-21,2024-10-15,Expired
POL00921,CUST1801,PROD013,AGT003,2024-06-11,2025-06-06,Cancelled
POL00922,CUST0982,PROD019,AGT084,2023-10-21,2025-10-10,Active
POL00923,CUST1950,PROD001,AGT109,2025-03-23,2027-03-13,Active
POL00924,CUST0909,PROD015,AGT104,2022-08-03,2023-01-30,Expired
POL00925,CUST2362,PROD003,AGT102,2022-05-05,2024-04-24,Cancelled
POL00926,CUST0893,PROD017,AGT046,2022-08-19,2024-08-08,Active
POL00927,CUST0164,PROD007,AGT079,2021-05-10,2022-05-05,Active
POL00928,CUST0504,PROD018,AGT017,2022-12-11,2024-11-30,Cancelled
POL00929,CUST0560,PROD011,AGT095,2024-03-18,2024-09-14,Active
POL00930,CUST1666,PROD010,AGT099,2023-09-04,2024-08-29,Active
POL00931,CUST1563,PROD015,AGT035,2022-10-12,2024-10-01,Active
POL00932,CUST2328,PROD003,AGT053,2023-09-29,2024-09-23,Active
POL00933,CUST1104,PROD017,AGT053,2021-09-21,2023-09-11,Active
POL00934,CUST1751,PROD002,AGT035,2024-10-09,2027-09-24,Active
POL00935,CUST1352,PROD009,AGT110,2021-10-01,2022-09-26,Active
POL00936,CUST2527,PROD007,AGT057,2020-02-10,2020-08-08,
POL00937,CUST2225,PROD009,AGT079,2025-04-14,2027-04-04,Active
POL00938,CUST1556,PROD006,AGT096,2023-10-20,2024-10-14,Expired
POL00939,CUST0310,PROD010,AGT096,2024-07-27,2025-07-22,
POL00940,CUST1350,PROD005,AGT042,2023-04-10,2026-03-25,Cancelled
POL00941,CUST1212,PROD004,AGT006,2024-01-27,2025-01-21,Expired
POL00942,CUST1553,PROD005,AGT035,2024-11-06,2025-05-05,
POL00943,CUST2657,PROD020,AGT055,2024-01-16,2025-01-10,Expired
POL00944,CUST1967,PROD010,AGT016,2021-11-06,2023-10-27,Cancelled
POL00945,CUST2104,PROD013,AGT009,2024-11-11,2025-11-06,Active
POL00946,CUST2370,PROD010,AGT114,2024-07-30,2025-01-26,Expired
POL00947,CUST2291,PROD003,AGT027,2023-10-11,2024-10-05,Expired
POL00948,CUST1955,PROD002,AGT107,2020-02-05,2023-01-20,Expired
POL00949,CUST2857,PROD005,AGT098,2025-04-30,2027-04-20,Expired
POL00950,CUST1516,PROD019,AGT089,2020-09-21,2023-09-06,Active
POL00951,CUST2934,PROD005,AGT020,2024-06-15,2025-06-10,Active
POL00952,CUST0792,PROD014,AGT066,2024-12-12,2027-11-27,Active
POL00953,CUST0671,PROD020,AGT025,2020-10-25,2021-04-23,Active
POL00954,CUST2571,PROD003,AGT071,2023-12-11,2024-06-08,Expired
POL00955,CUST1034,PROD006,AGT116,2023-11-22,2024-11-16,Active
POL00956,CUST2644,PROD019,AGT012,2024-05-19,2026-05-09,Active
POL00957,CUST0416,PROD011,AGT095,2023-07-27,2024-07-21,Cancelled
POL00958,CUST0826,PROD002,AGT031,2022-10-13,2023-10-08,Expired
POL00959,CUST1187,PROD012,AGT026,2025-03-13,2025-09-09,Cancelled
POL00960,CUST0038,PROD011,AGT100,2023-10-06,2025-09-25,Active
POL00961,CUST1770,PROD018,AGT096,2023-08-31,2024-08-25,Active
POL00962,CUST0168,PROD019,AGT008,2020-12-01,2021-11-26,Cancelled
POL00963,CUST0495,PROD010,AGT010,2021-08-28,2023-08-18,Cancelled
POL00964,CUST0307,PROD014,AGT075,2021-06-24,2023-06-14,Active
POL00965,CUST1445,PROD003,AGT076,2020-09-04,2022-08-25,Cancelled
POL00966,CUST2603,PROD006,AGT059,2023-04-18,2026-04-02,Active
POL00967,CUST1493,PROD014,AGT110,2024-04-08,2024-10-05,Expired
POL00968,CUST1039,PROD017,AGT066,2024-10-18,2025-04-16,Active
POL00969,CUST0263,PROD019,AGT068,2023-03-02,2024-02-25,Active
POL00970,CUST0797,PROD014,AGT059,2023-02-20,2023-08-19,Expired
POL00971,CUST0451,PROD020,AGT047,2020-09-05,2021-08-31,Expired
POL00972,CUST2883,PROD008,AGT064,2024-06-25,2027-06-10,Active
POL00973,CUST2551,PROD015,AGT095,2022-09-15,2023-09-10,Expired
POL00974,CUST2380,PROD016,AGT049,2021-09-12,2023-09-02,Active
POL00975,CUST1663,PROD003,AGT074,2025-01-22,2025-07-21,Active
POL00976,CUST0448,PROD012,AGT104,2022-07-15,2023-07-10,
POL00977,CUST1598,PROD004,AGT111,2024-11-14,2025-11-09,Active
POL00978,CUST1202,PROD013,AGT047,2020-02-29,2022-02-18,Expired
POL00979,CUST0306,PROD019,AGT036,2024-06-29,2027-06-14,Active
POL00980,CUST2988,PROD001,AGT073,2020-09-26,2021-09-21,Active
POL00981,CUST1757,PROD020,AGT080,2022-05-15,2023-05-10,Active
POL00982,CUST2666,PROD011,AGT068,2025-01-12,2026-01-07,Expired
POL00983,CUST2818,PROD013,AGT026,2020-04-05,2021-03-31,Cancelled
POL00984,CUST2949,PROD009,AGT066,2022-11-29,2024-11-18,Active
POL00985,CUST0922,PROD001,AGT082,2025-06-10,2027-05-31,Active
POL00986,CUST1053,PROD019,AGT046,2022-08-12,2025-07-27,Active
POL00987,CUST1155,PROD004,AGT034,2024-05-10,2025-05-05,Active
POL00988,CUST2803,PROD001,AGT059,2025-03-04,2027-02-22,Active
POL00989,CUST2632,PROD017,AGT111,2025-03-14,2027-03-04,Active
POL00990,CUST2196,PROD012,AGT104,2023-04-21,2024-04-15,Expired
POL00991,CUST0129,PROD003,AGT009,2023-06-24,2024-06-18,Expired
POL00992,CUST1044,PROD018,AGT026,2020-02-24,2020-08-22,Active
POL00993,CUST1130,PROD014,AGT038,2020-10-25,2022-10-15,Expired
POL00994,CUST2787,PROD017,AGT003,2023-04-10,2024-04-04,Active
POL00995,CUST2802,PROD011,AGT116,2023-02-07,2024-02-02,Active
POL00996,CUST1255,PROD001,AGT090,2020-07-26,2023-07-11,Active
POL00997,CUST1444,PROD018,AGT083,2020-12-12,2021-12-07,Active
POL00998,CUST1933,PROD001,AGT095,2025-04-16,2026-04-11,Expired
POL00999,CUST2420,PROD020,AGT042,2022-12-15,2025-11-29,Active
POL01000,CUST2938,PROD004,AGT059,2022-09-02,2024-08-22,
POL01001,CUST0756,PROD018,AGT002,2021-01-12,2022-01-07,Expired
POL01002,CUST0802,PROD017,AGT037,2021-07-22,2023-07-12,
POL01003,CUST2573,PROD014,AGT059,2020-10-21,2023-10-06,
POL01004,CUST0071,PROD019,AGT113,2021-06-30,2022-06-25,Active
POL01005,CUST0527,PROD018,AGT079,2023-04-15,2026-03-30,Expired
POL01006,CUST2662,PROD020,AGT098,2023-04-18,2024-04-12,Active
POL01007,CUST2758,PROD004,AGT056,2022-12-30,2023-12-25,Active
POL01008,CUST1772,PROD004,AGT039,2024-11-02,2026-10-23,Cancelled
POL01009,CUST2869,PROD005,AGT053,2020-02-24,2021-02-18,Active
POL01010,CUST1708,PROD008,AGT025,2025-04-13,2027-04-03,Active
POL01011,CUST1616,PROD020,AGT041,2020-02-28,2020-08-26,Active
POL01012,CUST0977,PROD014,AGT097,2023-07-23,2024-07-17,Cancelled
POL01013,CUST2374,PROD012,AGT091,2022-10-15,2024-10-04,Active
POL01014,CUST1616,PROD017,AGT045,2020-11-11,2021-05-10,Active
POL01015,CUST0913,PROD004,AGT047,2021-09-04,2023-08-25,
POL01016,CUST0151,PROD020,AGT022,2020-06-05,2020-12-02,Active
POL01017,CUST1289,PROD006,AGT038,2021-02-04,2022-01-30,Active
POL01018,CUST0725,PROD019,AGT118,2020-02-21,2021-02-15,Active
POL01019,CUST1092,PROD009,AGT117,2020-08-04,2021-07-30,Active
POL01020,CUST2301,PROD002,AGT031,2022-04-22,2024-04-11,Active
POL01021,CUST0041,PROD002,AGT079,2020-09-06,2022-08-27,Active
POL01022,CUST2952,PROD018,AGT045,2020-01-10,2021-12-30,Expired
POL01023,CUST0691,PROD015,AGT066,2021-09-28,2022-09-23,Active
POL01024,CUST0041,PROD018,AGT004,2023-08-14,2024-08-08,Cancelled
POL01025,CUST2691,PROD017,AGT019,2020-11-20,2021-11-15,Expired
POL01026,CUST0586,PROD004,AGT059,2022-10-10,2023-10-05,Active
POL01027,CUST1888,PROD013,AGT110,2023-11-26,2025-11-15,Expired
POL01028,CUST0563,PROD006,AGT120,2022-02-04,2025-01-19,Active
POL01029,CUST0455,PROD005,AGT018,2021-08-22,2024-08-06,Cancelled
POL01030,CUST2074,PROD016,AGT074,2020-08-21,2021-08-16,Active
POL01031,CUST2108,PROD015,AGT034,2024-08-07,2027-07-23,Cancelled
POL01032,CUST1023,PROD019,AGT058,2023-01-14,2025-01-03,Expired
POL01033,CUST2326,PROD019,AGT010,2021-01-08,2021-07-07,Active
POL01034,CUST1895,PROD014,AGT032,2022-04-23,2024-04-12,Active
POL01035,CUST1660,PROD017,AGT015,2021-07-25,2022-07-20,Cancelled
POL01036,CUST2934,PROD017,AGT029,2025-04-30,2025-10-27,
POL01037,CUST2152,PROD019,AGT004,2023-11-12,2024-05-10,Active
POL01038,CUST2801,PROD010,AGT081,2024-06-22,2025-06-17,Active
POL01039,CUST2668,PROD009,AGT001,2020-07-26,2022-07-16,Cancelled
POL01040,CUST1110,PROD003,AGT100,2023-05-03,2024-04-27,Active
POL01041,CUST2196,PROD014,AGT098,2021-06-06,2023-05-27,Expired
POL01042,CUST1302,PROD003,AGT011,2020-11-21,2021-11-16,Expired
POL01043,CUST0661,PROD005,AGT049,2024-04-13,2027-03-29,Active
POL01044,CUST2276,PROD008,AGT040,2024-02-10,2025-02-04,Expired
POL01045,CUST0533,PROD006,AGT051,2023-02-09,2025-01-29,Expired
POL01046,CUST0275,PROD019,AGT085,2023-01-06,2024-12-26,Active
POL01047,CUST1181,PROD015,AGT028,2025-02-17,2026-02-12,Active
POL01048,CUST2413,PROD014,AGT087,2021-02-18,2022-02-13,Cancelled
POL01049,CUST1529,PROD001,AGT083,2023-01-14,2025-12-29,Expired
POL01050,CUST0028,PROD002,AGT049,2021-09-09,2023-08-30,Active
POL01051,CUST2594,PROD009,AGT044,2024-06-26,2024-12-23,Expired
POL01052,CUST0834,PROD015,AGT023,2022-02-07,2024-01-28,Active
POL01053,CUST2172,PROD002,AGT090,2023-07-14,2025-07-03,Active
POL01054,CUST1026,PROD010,AGT040,2022-07-06,2023-07-01,Expired
POL01055,CUST0865,PROD013,AGT042,2022-04-10,2023-04-05,Active
POL01056,CUST2586,PROD014,AGT038,2024-11-02,2025-10-28,
POL01057,CUST2853,PROD009,AGT074,2021-05-29,2022-05-24,Expired
POL01058,CUST0646,PROD006,AGT074,2024-03-07,2027-02-20,Active
POL01059,CUST0030,PROD006,AGT058,2020-10-16,2021-10-11,Active
POL01060,CUST2232,PROD007,AGT080,2022-04-12,2025-03-27,Active
POL01061,CUST0950,PROD016,AGT077,2024-05-08,2024-11-04,Active
POL01062,CUST0214,PROD006,AGT075,2020-08-27,2021-02-23,
POL01063,CUST1822,PROD006,AGT119,2021-04-12,2023-04-02,Expired
POL01064,CUST2111,PROD001,AGT069,2021-11-01,2024-10-16,Active
POL01065,CUST0588,PROD015,AGT030,2022-04-24,2023-04-19,Expired
POL01066,CUST1395,PROD019,AGT081,2025-01-20,2027-01-10,Cancelled
POL01067,CUST0678,PROD011,AGT046,2021-11-20,2023-11-10,Active
POL01068,CUST0138,PROD015,AGT082,2021-05-03,2024-04-17,Active
POL01069,CUST1015,PROD007,AGT082,2025-01-24,2026-01-19,Active
POL01070,CUST2449,PROD011,AGT063,2024-09-01,2025-08-27,Active
POL01071,CUST1394,PROD018,AGT102,2024-02-05,2025-01-30,Active
POL01072,CUST0060,PROD012,AGT062,2025-01-03,2025-07-02,Active
POL01073,CUST2062,PROD017,AGT114,2023-07-21,2024-07-15,Active
POL01074,CUST1577,PROD005,AGT027,2024-03-18,2026-03-08,Cancelled
POL01075,CUST2810,PROD002,AGT112,2023-04-24,2025-04-13,Active
POL01076,CUST0034,PROD005,AGT088,2021-10-17,2023-10-07,Expired
POL01077,CUST2344,PROD001,AGT027,2023-04-07,2026-03-22,Active
POL01078,CUST2246,PROD018,AGT033,2024-04-10,2026-03-31,Active
POL01079,CUST0061,PROD004,AGT019,2020-11-13,2021-11-08,Active
POL01080,CUST1291,PROD001,AGT072,2020-03-27,2022-03-17,Active
POL01081,CUST2337,PROD007,AGT105,2020-08-05,2021-07-31,Cancelled
POL01082,CUST0373,PROD002,AGT045,2024-04-15,2027-03-31,Expired
POL01083,CUST2117,PROD018,AGT055,2020-11-19,2023-11-04,Expired
POL01084,CUST1067,PROD020,AGT100,2024-01-08,2025-01-02,Expired
POL01085,CUST1277,PROD004,AGT058,2020-03-16,2022-03-06,Active
