RenewalID,PolicyNo,RenewalDate,Amount,PaymentMethod
R02330,POL03225,28/06/2022,"₦90,000",USSD
R02331,POL03227,18/03/2027,180000,Transfer
R02332,POL03229,03/01/2023,180000,Cash
R02333,POL03229,26/12/2023,120000,Transfer
R02334,POL03230,25/08/2026,180000,USSD
R02335,POL03231,27/08/2024,60000,Cash
R02336,POL03233,20/04/2024,90000,Cash
R02337,POL03235,26/03/2025,120000,Card
R02338,POL03236,30/12/2024,45000,Cash
R02339,POL03237,01/05/2021,45000,Transfer
R02340,POL03239,12/08/2022,45000,Transfer
R02341,POL03241,09/09/2026,45000,USSD
R02342,POL03242,04/11/2025,,Card
R02343,POL03244,11/04/2026,"₦45,000",Card
R02344,POL03246,30/12/2024,"₦60,000",Card
R02345,POL03247,19/02/2027,90000,USSD
R02346,POL03248,01/05/2024,45000,Card
R02347,POL03249,10/12/2024,45000,Transfer
R02348,POL03249,30/12/2025,60000,Cash
R02349,POL03252,26/11/2025,180000,Card
R02350,POL03253,27/02/2026,,Cash
R02351,POL03255,21/12/2022,45000,Transfer
R02352,POL03256,09/10/2023,120000,Transfer
R02353,POL03257,02/03/2026,120000,Cash
R02354,POL03257,21/02/2027,120000,Card
R02355,POL03258,31/07/2021,120000,Card
R02356,POL03262,18/11/2023,60000,Card
R02357,POL03262,23/11/2024,180000,Transfer
R02358,POL03263,01/04/2022,60000,Transfer
R02359,POL03263,20/04/2023,180000,Card
R02360,POL03265,11/11/2022,90000,Cash
R02361,POL03266,04/05/2022,"₦90,000",Transfer
R02362,POL03267,17/05/2024,60000,USSD
R02363,POL03267,23/05/2025,180000,Card
R02364,POL03268,29/07/2025,120000,USSD
R02365,POL03270,13/08/2026,60000,Transfer
R02366,POL03271,14/11/2023,120000,Cash
R02367,POL03272,20/02/2026,120000,Transfer
R02368,POL03272,05/03/2027,90000,USSD
R02369,POL03277,18/01/2024,120000,USSD
R02370,POL03278,03/10/2024,90000,Transfer
R02371,POL03280,27/06/2024,180000,USSD
R02372,POL03280,06/07/2025,"₦90,000",Cash
R02373,POL03281,28/09/2023,120000,Card
R02374,POL03282,24/12/2025,45000,Card
R02375,POL03285,15/02/2023,60000,Cash
R02376,POL03287,11/05/2022,180000,Transfer
R02377,POL03287,04/05/2023,"₦180,000",USSD
R02378,POL03288,06/01/2023,90000,Cash
R02379,POL03290,06/06/2024,120000,Card
R02380,POL03290,27/05/2025,180000,USSD
R02381,POL03292,25/02/2025,"₦120,000",Card
R02382,POL03293,29/12/2020,60000,USSD
R02383,POL03294,13/08/2024,60000,Cash
R02384,POL03295,15/01/2023,180000,Cash
R02385,POL03296,27/07/2021,45000,Card
R02386,POL03298,03/02/2024,60000,Transfer
R02387,POL03298,16/02/2025,180000,Cash
R02388,POL03299,01/08/2022,60000,Cash
R02389,POL03300,26/06/2027,,Card
R02390,POL03302,14/02/2022,120000,USSD
R02391,POL03302,17/02/2023,60000,Cash
R02392,POL03303,16/09/2021,45000,Card
R02393,POL03303,15/09/2022,90000,Transfer
R02394,POL03304,06/05/2024,"₦45,000",Transfer
R02395,POL03306,18/09/2025,45000,USSD
R02396,POL03308,22/04/2026,180000,Transfer
R02397,POL03309,17/01/2023,90000,Transfer
R02398,POL03310,12/06/2025,90000,Card
R02399,POL03312,05/07/2023,60000,Cash
R02400,POL03313,04/08/2021,"₦180,000",Cash
R02401,POL03315,04/05/2021,90000,Card
R02402,POL03317,13/08/2025,60000,USSD
R02403,POL03318,26/06/2027,,Transfer
R02404,POL03318,12/06/2028,90000,Transfer
R02405,POL03320,21/01/2023,60000,USSD
R02406,POL03324,14/09/2023,90000,Transfer
R02407,POL03326,24/12/2021,45000,Cash
R02408,POL03326,30/12/2022,"₦180,000",Cash
R02409,POL03330,26/12/2026,45000,Transfer
R02410,POL03333,11/08/2024,90000,Card
R02411,POL03333,24/08/2025,60000,Transfer
R02412,POL03334,14/03/2023,90000,Transfer
R02413,POL03334,16/03/2024,45000,Transfer
R02414,POL03335,15/03/2025,120000,Transfer
R02415,POL03337,28/05/2023,45000,Cash
R02416,POL03338,02/01/2023,180000,Card
R02417,POL03340,29/01/2023,90000,Transfer
R02418,POL03341,08/05/2023,180000,Card
R02419,POL03341,22/05/2024,"₦60,000",Cash
R02420,POL03344,29/09/2023,90000,Card
R02421,POL03346,19/02/2027,120000,Card
R02422,POL03346,29/01/2028,45000,Transfer
R02423,POL03348,18/06/2022,180000,Card
R02424,POL03348,14/07/2023,180000,Card
R02425,POL03351,20/03/2021,180000,Cash
R02426,POL03352,31/12/2025,120000,Transfer
R02427,POL03353,15/07/2025,90000,USSD
R02428,POL03353,22/07/2026,"₦60,000",USSD
R02429,POL03354,14/11/2026,120000,USSD
R02430,POL03359,18/02/2023,60000,Transfer
R02431,POL03360,04/11/2023,60000,Card
R02432,POL03361,20/06/2023,180000,Card
R02433,POL03361,24/05/2024,120000,Card
R02434,POL03366,19/01/2026,180000,Transfer
R02435,POL03367,29/06/2026,60000,Cash
R02436,POL03368,18/02/2023,45000,Card
R02437,POL03369,14/07/2024,45000,USSD
R02438,POL03370,09/09/2026,180000,Transfer
R02439,POL03371,10/06/2022,60000,USSD
R02440,POL03371,10/06/2023,120000,Transfer
R02441,POL03375,29/03/2022,90000,Cash
R02442,POL03378,30/04/2021,"₦120,000",Transfer
R02443,POL03380,22/12/2025,60000,Cash
R02444,POL03381,28/09/2020,180000,USSD
R02445,POL03383,01/06/2028,45000,Transfer
R02446,POL03383,27/05/2029,90000,Card
R02447,POL03385,08/12/2024,120000,Card
R02448,POL03387,18/07/2025,180000,Transfer
R02449,POL03388,30/09/2024,60000,Cash
R02450,POL03389,22/02/2026,120000,USSD
R02451,POL03390,25/12/2021,180000,Cash
R02452,POL03393,14/06/2021,120000,Transfer
R02453,POL03394,24/03/2027,,Cash
R02454,POL03395,28/07/2023,180000,Transfer
R02455,POL03397,03/03/2026,90000,Card
R02456,POL03398,23/03/2027,"₦180,000",Card
R02457,POL03399,25/06/2023,45000,Card
R02458,POL03401,10/01/2023,45000,USSD
R02459,POL03403,10/12/2026,45000,Card
R02460,POL03405,09/10/2025,180000,Cash
R02461,POL03406,20/04/2024,90000,Card
R02462,POL03407,18/08/2023,"₦90,000",USSD
R02463,POL03407,28/08/2024,60000,Transfer
R02464,POL03408,20/09/2023,60000,Cash
R02465,POL03410,16/10/2025,120000,Card
R02466,POL03411,14/02/2025,"₦90,000",Transfer
R02467,POL03413,27/06/2023,90000,USSD
R02468,POL03415,18/01/2026,90000,Transfer
R02469,POL03415,17/01/2027,,Card
R02470,POL03419,20/04/2021,120000,Cash
R02471,POL03420,15/04/2021,45000,Card
R02472,POL03421,25/12/2026,120000,Cash
R02473,POL03422,02/04/2023,45000,Card
R02474,POL03424,03/01/2025,45000,Transfer
R02475,POL03424,03/01/2026,180000,Card
R02476,POL03425,10/01/2024,45000,USSD
R02477,POL03426,24/03/2021,180000,Card
R02478,POL03427,05/09/2023,90000,Cash
R02479,POL03427,09/09/2024,45000,USSD
R02480,POL03428,24/05/2025,90000,Card
R02481,POL03428,25/05/2026,45000,Cash
R02482,POL03429,22/05/2026,90000,Cash
R02483,POL03431,23/03/2024,60000,Transfer
R02484,POL03432,07/10/2026,60000,Card
R02485,POL03434,18/02/2021,45000,USSD
R02486,POL03435,01/11/2022,90000,Transfer
R02487,POL03435,07/11/2023,180000,Transfer
R02488,POL03439,08/02/2025,180000,USSD
R02489,POL03440,25/06/2022,120000,Transfer
R02490,POL03441,17/12/2023,45000,Cash
R02491,POL03443,25/02/2022,,Transfer
R02492,POL03444,15/02/2024,90000,Transfer
R02493,POL03445,01/07/2022,60000,USSD
R02494,POL03446,12/07/2024,90000,Cash
R02495,POL03447,14/02/2022,120000,Card
R02496,POL03448,10/12/2020,"₦120,000",USSD
R02497,POL03453,29/11/2022,45000,Cash
R02498,POL03454,28/03/2023,45000,Cash
R02499,POL03456,24/03/2025,120000,Cash
R02500,POL03458,31/07/2026,60000,USSD
R02501,POL03458,05/08/2027,45000,Transfer
R02502,POL03459,20/04/2024,180000,Transfer
R02503,POL03460,28/11/2024,90000,USSD
R02504,POL03462,22/08/2026,120000,Card
R02505,POL03463,27/08/2025,180000,Transfer
R02506,POL03465,25/09/2024,45000,USSD
R02507,POL03465,28/09/2025,60000,USSD
R02508,POL03466,27/02/2022,60000,Card
R02509,POL03467,24/10/2024,120000,USSD
R02510,POL03469,01/09/2024,120000,Transfer
R02511,POL03470,23/01/2023,45000,Transfer
R02512,POL03470,12/02/2024,,Card
R02513,POL03471,27/11/2021,,Card
R02514,POL03473,17/11/2025,90000,Cash
R02515,POL03474,28/10/2023,90000,Cash
R02516,POL03475,21/12/2024,45000,Transfer
R02517,POL03476,05/08/2024,"₦90,000",Cash
R02518,POL03477,05/09/2023,45000,Cash
R02519,POL03479,23/11/2021,45000,USSD
R02520,POL03480,19/08/2024,45000,USSD
R02521,POL03483,08/12/2023,45000,USSD
R02522,POL03488,14/03/2025,90000,Transfer
R02523,POL03489,01/06/2025,"₦45,000",Card
R02524,POL03490,30/12/2025,60000,Card
R02525,POL03491,08/04/2023,180000,Cash
R02526,POL03491,19/03/2024,90000,USSD
R02527,POL03492,12/08/2024,45000,USSD
R02528,POL03493,17/04/2026,"₦45,000",USSD
R02529,POL03494,20/05/2022,120000,Cash
R02530,POL03495,30/11/2021,60000,Cash
R02531,POL03496,19/02/2021,,Transfer
R02532,POL03497,13/01/2024,120000,Transfer
R02533,POL03500,11/03/2022,,Transfer
R02534,POL03501,11/11/2022,180000,USSD
R02535,POL03502,03/02/2025,"₦90,000",Transfer
R02536,POL03504,26/08/2021,90000,Transfer
R02537,POL03504,10/09/2022,120000,Card
R02538,POL03505,18/02/2023,90000,USSD
R02539,POL03506,20/01/2023,90000,Transfer
R02540,POL03508,28/02/2022,180000,Card
R02541,POL03510,07/03/2025,45000,USSD
R02542,POL03510,30/03/2026,"₦180,000",Card
R02543,POL03514,24/10/2022,"₦60,000",Transfer
R02544,POL03515,21/08/2021,60000,Card
R02545,POL03516,25/07/2025,120000,Cash
R02546,POL03517,15/07/2022,90000,Card
R02547,POL03518,07/09/2024,120000,USSD
R02548,POL03520,16/10/2026,90000,Card
R02549,POL03523,07/02/2025,90000,Card
R02550,POL03526,22/08/2022,45000,Card
R02551,POL03528,24/06/2025,120000,Cash
R02552,POL03529,27/06/2027,90000,USSD
R02553,POL03530,30/12/2024,60000,USSD
R02554,POL03531,15/06/2026,120000,Cash
R02555,POL03531,20/06/2027,60000,USSD
R02556,POL03532,19/02/2024,90000,Cash
R02557,POL03535,20/11/2023,120000,USSD
R02558,POL03536,28/06/2021,90000,Card
R02559,POL03536,23/06/2022,120000,Cash
R02560,POL03538,06/08/2024,120000,Card
R02561,POL03540,01/09/2022,45000,Cash
R02562,POL03541,17/06/2023,"₦60,000",Transfer
R02563,POL03541,13/07/2024,180000,Cash
R02564,POL03542,14/03/2025,,USSD
R02565,POL03542,19/02/2026,120000,USSD
R02566,POL03544,12/01/2024,90000,USSD
R02567,POL03545,18/04/2023,90000,USSD
R02568,POL03547,20/10/2022,,USSD
R02569,POL03547,08/10/2023,45000,Card
R02570,POL03553,11/07/2021,90000,USSD
R02571,POL03554,03/07/2026,60000,Card
R02572,POL03554,05/07/2027,90000,Transfer
R02573,POL03555,31/10/2024,120000,Transfer
R02574,POL03557,12/01/2024,90000,Card
R02575,POL03557,15/01/2025,180000,Cash
R02576,POL03558,07/10/2025,45000,Card
R02577,POL03558,07/10/2026,60000,Card
R02578,POL03560,28/01/2022,90000,Transfer
R02579,POL03561,24/05/2022,45000,Card
R02580,POL03563,20/05/2026,45000,Transfer
R02581,POL03565,18/09/2025,,Cash
R02582,POL03566,13/06/2026,90000,Cash
R02583,POL03567,19/08/2026,60000,Card
R02584,POL03571,18/10/2025,60000,Transfer
R02585,POL03572,29/10/2023,90000,Cash
R02586,POL03574,11/07/2025,120000,Transfer
R02587,POL03574,30/06/2026,90000,Cash
R02588,POL03575,24/08/2020,45000,USSD
R02589,POL03576,20/01/2024,90000,USSD
R02590,POL03577,25/10/2024,45000,USSD
R02591,POL03579,25/07/2021,180000,Cash
R02592,POL03580,20/04/2024,"₦60,000",Cash
R02593,POL03581,26/09/2024,180000,Transfer
R02594,POL03582,04/06/2023,180000,Card
R02595,POL03584,02/12/2025,,Cash
R02596,POL03585,16/08/2024,"₦120,000",USSD
R02597,POL03586,26/01/2025,60000,USSD
R02598,POL03588,11/02/2025,60000,USSD
R02599,POL03589,28/05/2026,"₦60,000",Card
R02600,POL03590,29/09/2022,180000,Transfer
R02601,POL03592,17/10/2023,60000,USSD
R02602,POL03594,16/09/2021,60000,USSD
R02603,POL03595,01/02/2026,45000,USSD
R02604,POL03597,13/01/2024,45000,Card
R02605,POL03598,24/07/2024,120000,Cash
R02606,POL03599,28/11/2023,120000,USSD
R02607,POL03600,25/07/2021,60000,Transfer
R02608,POL03601,15/03/2025,180000,Transfer
R02609,POL03601,12/03/2026,"₦180,000",Card
R02610,POL03604,25/02/2026,90000,USSD
R02611,POL03606,20/10/2024,90000,Transfer
R02612,POL03608,16/05/2023,"₦45,000",USSD
R02613,POL03609,10/04/2027,180000,Cash
R02614,POL03610,10/06/2022,90000,Cash
R02615,POL03613,05/08/2023,60000,Cash
R02616,POL03614,17/06/2025,120000,Transfer
R02617,POL03615,10/11/2026,"₦60,000",USSD
R02618,POL03615,21/10/2027,180000,Cash
R02619,POL03616,20/08/2024,180000,Card
R02620,POL03618,31/10/2022,60000,Transfer
R02621,POL03620,30/10/2026,180000,Cash
R02622,POL03622,13/09/2023,60000,Transfer
R02623,POL03622,14/09/2024,90000,Card
R02624,POL03623,31/07/2025,60000,Card
R02625,POL03624,11/12/2025,,Cash
R02626,POL03629,15/12/2023,120000,Transfer
R02627,POL03629,17/12/2024,90000,Transfer
R02628,POL03630,06/01/2026,90000,Card
R02629,POL03632,13/05/2022,120000,Card
R02630,POL03633,09/07/2023,90000,Transfer
R02631,POL03634,04/02/2022,,Transfer
R02632,POL03635,08/12/2022,45000,Card
R02633,POL03636,28/11/2025,,Card
R02634,POL03637,21/05/2021,180000,Transfer
R02635,POL03638,15/03/2021,180000,Transfer
R02636,POL03638,05/04/2022,"₦90,000",Card
R02637,POL03640,12/04/2026,45000,Cash
R02638,POL03642,22/10/2023,"₦120,000",Card
R02639,POL03643,04/06/2022,120000,USSD
R02640,POL03645,01/06/2026,180000,USSD
R02641,POL03647,06/08/2021,60000,USSD
R02642,POL03648,04/03/2025,90000,Card
R02643,POL03650,05/11/2022,45000,Card
R02644,POL03650,26/11/2023,90000,Cash
R02645,POL03652,22/01/2023,90000,USSD
R02646,POL03652,28/01/2024,90000,USSD
R02647,POL03653,04/06/2025,90000,Transfer
R02648,POL03655,15/06/2026,,Cash
R02649,POL03655,22/06/2027,45000,Cash
R02650,POL03656,12/05/2023,60000,Card
R02651,POL03658,16/05/2023,,Cash
R02652,POL03660,01/05/2025,45000,Transfer
R02653,POL03661,18/09/2021,180000,Transfer
R02654,POL03662,01/08/2024,180000,Transfer
R02655,POL03663,17/09/2026,180000,Cash
R02656,POL03663,12/09/2027,45000,Cash
R02657,POL03664,30/10/2024,60000,Cash
R02658,POL03665,20/04/2025,"₦180,000",Card
R02659,POL03666,03/12/2025,45000,USSD
R02660,POL03667,30/05/2025,90000,Transfer
R02661,POL03669,03/06/2024,120000,Transfer
R02662,POL03671,19/06/2021,60000,USSD
R02663,POL03673,17/05/2023,90000,Transfer
R02664,POL03674,13/07/2024,180000,USSD
R02665,POL03675,28/05/2023,45000,USSD
R02666,POL03676,01/08/2024,"₦180,000",Card
R02667,POL03676,04/07/2025,120000,Cash
R02668,POL03677,22/01/2025,60000,Cash
R02669,POL03677,26/01/2026,60000,USSD
R02670,POL03678,01/09/2025,90000,Cash
R02671,POL03680,04/08/2025,45000,Transfer
R02672,POL03682,13/02/2025,60000,Transfer
R02673,POL03684,08/07/2024,"₦45,000",USSD
R02674,POL03685,15/01/2023,"₦60,000",Cash
R02675,POL03685,23/01/2024,180000,Transfer
R02676,POL03686,17/07/2024,60000,Cash
R02677,POL03689,05/12/2022,60000,Cash
R02678,POL03690,14/07/2022,60000,Cash
R02679,POL03690,09/07/2023,90000,Cash
R02680,POL03691,12/04/2023,120000,Card
R02681,POL03693,06/10/2022,"₦90,000",Cash
R02682,POL03694,12/10/2024,"₦180,000",Transfer
R02683,POL03696,13/08/2022,"₦45,000",USSD
R02684,POL03697,24/12/2022,90000,Card
R02685,POL03698,30/09/2024,90000,Transfer
R02686,POL03698,30/09/2025,"₦120,000",Card
R02687,POL03699,10/04/2026,120000,USSD
R02688,POL03700,02/09/2023,90000,Transfer
R02689,POL03700,08/08/2024,45000,Card
R02690,POL03703,12/06/2025,180000,Cash
R02691,POL03704,23/07/2022,60000,Card
R02692,POL03705,11/05/2022,"₦60,000",USSD
R02693,POL03707,15/06/2026,180000,Cash
R02694,POL03709,28/10/2024,45000,Card
R02695,POL03710,05/05/2027,60000,Card
R02696,POL03712,26/01/2023,120000,Transfer
R02697,POL03714,28/11/2024,120000,USSD
R02698,POL03717,28/05/2025,"₦45,000",Card
R02699,POL03718,12/11/2021,"₦120,000",Transfer
R02700,POL03719,14/10/2026,120000,Card
R02701,POL03721,04/02/2027,180000,USSD
R02702,POL03722,08/07/2022,180000,Cash
R02703,POL03723,29/11/2024,180000,Cash
R02704,POL03725,21/03/2022,"₦60,000",Transfer
R02705,POL03726,26/04/2023,45000,Card
R02706,POL03729,20/04/2024,45000,Card
R02707,POL03730,18/08/2020,60000,Cash
R02708,POL03732,02/05/2025,"₦120,000",USSD
R02709,POL03735,24/02/2027,90000,Cash
R02710,POL03735,07/03/2028,120000,USSD
R02711,POL03738,09/08/2025,"₦180,000",Card
R02712,POL03738,18/07/2026,120000,USSD
R02713,POL03740,09/05/2025,45000,Card
R02714,POL03741,18/11/2023,90000,Cash
R02715,POL03745,11/04/2024,120000,Card
R02716,POL03747,04/11/2021,180000,Transfer
R02717,POL03747,10/11/2022,180000,Cash
R02718,POL03748,02/10/2022,60000,Card
R02719,POL03750,21/09/2021,120000,USSD
R02720,POL03753,16/01/2024,45000,Card
R02721,POL03754,17/08/2025,120000,Card
R02722,POL03754,16/08/2026,45000,Transfer
R02723,POL03755,31/07/2021,60000,Cash
R02724,POL03755,13/08/2022,"₦60,000",USSD
R02725,POL03756,20/02/2021,90000,Cash
R02726,POL03758,26/05/2022,180000,Cash
R02727,POL03760,05/07/2021,,Card
R02728,POL03762,01/10/2024,60000,Cash
R02729,POL03762,29/09/2025,180000,Card
R02730,POL03763,01/04/2022,120000,Card
R02731,POL03763,09/04/2023,90000,USSD
R02732,POL03766,10/11/2023,45000,USSD
R02733,POL03768,07/02/2025,60000,Card
R02734,POL03768,17/02/2026,120000,USSD
R02735,POL03770,07/08/2024,120000,Card
R02736,POL03771,04/04/2023,45000,USSD
R02737,POL03772,13/06/2025,120000,Cash
R02738,POL03774,26/08/2023,60000,Cash
R02739,POL03775,12/09/2027,60000,USSD
R02740,POL03775,29/09/2028,120000,USSD
R02741,POL03776,09/04/2025,"₦180,000",Cash
R02742,POL03776,10/04/2026,"₦90,000",Cash
R02743,POL03777,11/07/2020,"₦45,000",Transfer
R02744,POL03778,03/08/2022,180000,Card
R02745,POL03779,13/06/2024,120000,Transfer
R02746,POL03780,23/03/2025,180000,Transfer
R02747,POL03781,23/02/2022,"₦45,000",USSD
R02748,POL03782,31/05/2026,90000,USSD
R02749,POL03784,25/11/2025,180000,USSD
R02750,POL03788,28/01/2025,60000,Transfer
R02751,POL03790,31/03/2027,"₦90,000",Cash
R02752,POL03790,19/04/2028,"₦45,000",Transfer
R02753,POL03793,13/07/2026,120000,USSD
R02754,POL03794,26/01/2022,90000,Cash
R02755,POL03795,07/11/2023,"₦60,000",Cash
R02756,POL03796,14/08/2022,120000,USSD
R02757,POL03797,02/04/2022,"₦45,000",Transfer
R02758,POL03803,25/11/2024,"₦90,000",Card
R02759,POL03804,24/09/2023,180000,Card
R02760,POL03804,19/09/2024,180000,USSD
R02761,POL03806,13/04/2025,180000,USSD
R02762,POL03810,27/11/2026,60000,USSD
R02763,POL03812,01/03/2026,90000,Cash
R02764,POL03813,13/04/2021,120000,USSD
R02765,POL03815,27/03/2022,180000,Cash
R02766,POL03816,03/12/2024,120000,Card
R02767,POL03817,26/11/2022,45000,Card
R02768,POL03821,08/03/2022,45000,Cash
R02769,POL03822,04/07/2022,60000,Card
R02770,POL03822,16/06/2023,90000,Card
R02771,POL03823,17/09/2023,120000,Cash
R02772,POL03824,22/12/2025,60000,Cash
R02773,POL03826,03/09/2021,120000,Card
R02774,POL03827,08/05/2021,120000,USSD
R02775,POL03828,30/01/2022,90000,Transfer
R02776,POL03829,16/03/2024,60000,Transfer
R02777,POL03830,07/03/2023,90000,Card
R02778,POL03833,03/04/2023,120000,Cash
R02779,POL03837,11/03/2025,120000,USSD
R02780,POL03837,20/03/2026,60000,USSD
R02781,POL03840,06/09/2025,120000,Cash
R02782,POL03840,06/09/2026,45000,Cash
R02783,POL03841,31/12/2022,45000,Transfer
R02784,POL03842,11/02/2026,120000,Cash
R02785,POL03844,01/09/2023,45000,Card
R02786,POL03848,31/12/2024,60000,Transfer
R02787,POL03848,13/01/2026,90000,Transfer
R02788,POL03850,05/08/2024,90000,Cash
R02789,POL03850,02/08/2025,60000,Card
R02790,POL03852,22/03/2025,180000,Transfer
R02791,POL03853,26/08/2027,45000,Transfer
R02792,POL03853,28/08/2028,45000,Card
R02793,POL03854,09/11/2023,45000,Cash
R02794,POL03855,30/04/2024,"₦45,000",Transfer
R02795,POL03856,13/03/2025,"₦45,000",Transfer
R02796,POL03857,24/06/2021,60000,USSD
R02797,POL03857,08/06/2022,180000,USSD
R02798,POL03858,11/12/2022,180000,USSD
R02799,POL03859,23/07/2021,180000,USSD
R02800,POL03860,19/07/2027,"₦90,000",Transfer
R02801,POL03863,04/08/2024,,Transfer
R02802,POL03864,08/01/2026,90000,Cash
R02803,POL03866,13/10/2022,60000,Cash
R02804,POL03869,22/05/2022,60000,Card
R02805,POL03870,08/06/2024,60000,Card
R02806,POL03871,25/11/2026,"₦180,000",Card
R02807,POL03873,29/07/2023,,Cash
R02808,POL03873,28/07/2024,45000,Cash
R02809,POL03877,22/02/2023,90000,USSD
R02810,POL03878,13/07/2025,180000,Transfer
R02811,POL03879,01/01/2026,180000,USSD
R02812,POL03880,23/07/2025,60000,USSD
R02813,POL03881,04/01/2026,"₦180,000",Card
R02814,POL03887,02/04/2023,120000,Transfer
R02815,POL03890,29/04/2023,60000,USSD
R02816,POL03891,13/07/2024,"₦180,000",Card
R02817,POL03894,13/06/2025,45000,Transfer
R02818,POL03898,16/09/2021,45000,USSD
R02819,POL03899,17/05/2027,"₦120,000",USSD
R02820,POL03900,22/05/2026,120000,Cash
R02821,POL03900,06/05/2027,60000,Transfer
R02822,POL03901,04/11/2023,120000,Cash
R02823,POL03903,14/10/2022,45000,USSD
R02824,POL03904,26/11/2026,60000,Transfer
R02825,POL03905,30/04/2022,90000,Cash
R02826,POL03905,04/05/2023,120000,Cash
R02827,POL03906,25/07/2025,60000,Cash
R02828,POL03913,12/11/2025,60000,Card
R02829,POL03913,02/11/2026,180000,Cash
R02830,POL03915,17/05/2022,120000,USSD
R02831,POL03916,22/02/2022,180000,USSD
R02832,POL03916,08/02/2023,60000,USSD
R02833,POL03917,24/03/2026,90000,Cash
R02834,POL03918,11/08/2020,45000,Card
R02835,POL03919,10/10/2021,60000,Cash
R02836,POL03921,31/10/2024,45000,Card
R02837,POL03921,27/10/2025,60000,USSD
R02838,POL03922,29/12/2020,180000,Cash
R02839,POL03925,24/08/2024,180000,Transfer
R02840,POL03927,22/01/2023,"₦60,000",Cash
R02841,POL03929,23/10/2025,"₦45,000",Card
R02842,POL03930,21/03/2024,90000,Cash
R02843,POL03931,24/11/2020,"₦90,000",Transfer
R02844,POL03931,13/11/2021,60000,Transfer
R02845,POL03932,08/10/2021,60000,USSD
R02846,POL03934,03/12/2023,"₦45,000",Cash
R02847,POL03935,17/11/2025,"₦90,000",Cash
R02848,POL03935,15/12/2026,180000,USSD
R02849,POL03937,07/12/2025,"₦60,000",USSD
R02850,POL03938,30/10/2023,90000,USSD
R02851,POL03940,03/04/2022,120000,USSD
R02852,POL03941,28/12/2023,120000,Card
R02853,POL03944,10/11/2025,90000,USSD
R02854,POL03944,30/11/2026,60000,Transfer
R02855,POL03947,12/06/2021,"₦45,000",Transfer
R02856,POL03947,17/06/2022,"₦60,000",Card
R02857,POL03948,16/01/2027,90000,Transfer
R02858,POL03949,03/07/2023,45000,USSD
R02859,POL03951,21/02/2023,"₦45,000",Cash
R02860,POL03952,01/04/2026,60000,Card
R02861,POL03953,10/07/2026,180000,Transfer
R02862,POL03956,08/06/2026,180000,Cash
R02863,POL03957,24/05/2025,90000,Card
R02864,POL03958,16/03/2024,45000,USSD
R02865,POL03959,30/08/2022,180000,Cash
R02866,POL03960,20/02/2021,60000,Transfer
R02867,POL03961,23/03/2023,90000,Transfer
R02868,POL03961,20/03/2024,45000,Card
R02869,POL03962,05/06/2023,180000,Cash
R02870,POL03963,12/03/2027,45000,Transfer
R02871,POL03965,12/06/2022,90000,Card
R02872,POL03966,31/10/2024,45000,USSD
R02873,POL03969,14/09/2021,60000,USSD
R02874,POL03971,09/05/2022,90000,Card
R02875,POL03974,01/01/2022,60000,USSD
R02876,POL03975,10/01/2026,45000,Cash
R02877,POL03977,25/08/2024,180000,Card
R02878,POL03980,28/09/2024,180000,Transfer
R02879,POL03985,04/01/2027,60000,Transfer
R02880,POL03988,16/02/2024,120000,Cash
R02881,POL03988,15/02/2025,,Transfer
R02882,POL03989,17/01/2025,120000,Transfer
R02883,POL03990,29/05/2021,180000,Transfer
R02884,POL03991,02/08/2025,180000,Card
R02885,POL03992,28/01/2024,180000,Transfer
R02886,POL03992,19/01/2025,"₦60,000",Cash
R02887,POL03994,24/10/2022,180000,Transfer
R02888,POL03995,01/10/2027,"₦45,000",Card
R02889,POL03996,05/08/2023,"₦45,000",Card
R02890,POL03997,06/09/2025,180000,Transfer
R02891,POL03998,26/12/2023,180000,Card
R02892,POL03998,26/11/2024,45000,Transfer
R02893,POL03999,31/10/2025,60000,Card
R02894,POL04000,10/06/2024,90000,Cash
R02895,POL04004,13/12/2027,60000,Cash
R02896,POL04004,16/12/2028,120000,Cash
R02897,POL04007,16/10/2024,"₦90,000",Transfer
R02898,POL04007,15/10/2025,120000,Card
R02899,POL04009,14/07/2022,180000,Card
R02900,POL04010,30/06/2021,45000,Transfer
R02901,POL04011,21/02/2023,180000,Transfer
R02902,POL04011,04/03/2024,90000,Cash
R02903,POL04012,30/09/2024,120000,Card
R02904,POL04013,19/07/2027,45000,Transfer
R02905,POL04014,09/07/2023,"₦180,000",Transfer
R02906,POL04015,06/01/2028,120000,Cash
R02907,POL04016,20/02/2025,45000,USSD
R02908,POL04019,17/06/2026,120000,USSD
R02909,POL04020,21/01/2026,90000,USSD
R02910,POL04020,29/12/2026,90000,USSD
R02911,POL04021,30/11/2022,90000,Transfer
R02912,POL04023,14/04/2022,180000,Transfer
R02913,POL04025,11/11/2022,"₦60,000",Transfer
R02914,POL04028,02/01/2026,"₦45,000",Transfer
R02915,POL04029,02/04/2023,"₦90,000",USSD
R02916,POL04030,15/04/2026,120000,USSD
R02917,POL04031,13/07/2024,60000,Cash
R02918,POL04032,16/01/2021,60000,Card
R02919,POL04033,15/02/2026,60000,Cash
R02920,POL04034,18/05/2021,120000,Transfer
R02921,POL04035,19/12/2023,,Cash
R02922,POL04037,23/03/2027,45000,Card
R02923,POL04040,01/07/2026,120000,Cash
R02924,POL04041,28/05/2022,180000,Transfer
